PD,DT,B,BD,I,P,ID,IA,MF,A,IR,SI
30,,,,,,,,,,,
29,,,,,,,,,,,
28,,,,,,,,,,,
27,,,,,,,,,,,
26,,,99,,,,,,,,
25,,,98,,,,,,,,
24,,,97,,,,,,,,
23,,,95,99,,,,,,99,
22,,,94,98,,,,,,98,
21,,,91,98,,,99,,,98,
20,99,,88,98,,,98,99,,98,
19,97,,86,98,,,98,98,,98,
18,95,,83,97,,,97,98,,97,
17,92,,80,97,,,97,97,,96,99
16,89,,77,96,,,96,96,,94,98
15,86,,75,96,99,99,95,94,99,93,98
14,83,,72,95,98,98,94,92,98,90,98
13,80,99,70,94,98,98,92,89,97,88,97
12,77,98,67,94,97,98,90,85,96,86,96
11,75,98,64,92,95,97,87,81,95,83,94
10,71,98,61,90,94,95,84,77,93,79,93
9,69,98,57,87,91,93,81,72,91,74,90
8,65,97,53,84,86,91,77,65,86,68,87
7,62,95,49,80,82,87,72,56,80,63,83
6,58,93,45,76,76,82,66,47,73,57,78
5,53,90,41,70,68,75,57,37,61,46,70
4,49,87,37,68,59,66,50,26,51,40,63
3,44,81,32,55,51,57,42,17,40,35,54
2,34,69,25,44,36,44,31,10,22,28,45
1,26,57,19,31,24,30,21,5,12,21,33
0,18,47,14,18,16,19,12,2,5,14,19
